Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Walking,2017-11-26 12:57:54,false,"Walking","11.67","1,709","04:54:46","102","168","--","--","--","25:15","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","4:54:46","0:00","0.0","0:00","No","00:00.00","12","0.0"
Cardio,2017-11-19 14:53:28,false,"Cardio","0.00","215","00:20:39","142","176","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","20:39","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-11-15 14:14:43,false,"Running","3.46","347","00:28:50","156","182","--","--","--","8:20","2:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","28:50","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-11-13 18:00:55,false,"Running","3.58","342","00:29:12","153","166","--","--","--","8:10","1:37","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","29:12","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-11-10 17:50:35,false,"Running","2.56","247","00:20:59","154","165","--","--","--","8:11","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","20:59","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-11-08 17:41:03,false,"Running","1.74","146","00:14:30","139","162","--","--","--","8:20","2:13","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","14:30","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-10-31 17:09:43,false,"Running","1.89","183","00:14:45","159","179","--","--","--","7:49","2:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","14:45","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-25 18:49:39,false,"Running","2.93","235","00:23:47","137","155","--","--","--","8:07","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","23:47","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-16 18:09:14,false,"Running","3.20","269","00:26:36","140","164","--","--","--","8:18","4:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","26:36","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-14 10:09:32,false,"Running","10.76","988","01:24:53","153","176","--","--","--","7:53","3:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:24:53","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-12 18:44:57,false,"Running","6.32","596","00:49:27","156","173","--","--","--","7:50","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","49:27","0:00","0.0","0:00","No","00:00.00","--","0.0"
